epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,138.51,0.34266,0.2468,0.84853,0.99842,1,0.995,0.96303,0.3036,0.2151,0.82601,0.0010694,0.0010694,0.0010694
96,139.958,0.33981,0.25159,0.83988,0.99891,1,0.995,0.95161,0.34434,0.23295,0.85815,0.0010595,0.0010595,0.0010595
97,141.399,0.36208,0.27033,0.85569,0.99719,1,0.995,0.93716,0.35572,0.25197,0.85389,0.0010496,0.0010496,0.0010496
98,142.85,0.35138,0.25247,0.8531,1,0.98365,0.995,0.94926,0.36636,0.28096,0.86394,0.0010397,0.0010397,0.0010397
99,144.304,0.3221,0.24055,0.83702,0.99668,1,0.995,0.94547,0.354,0.28764,0.85703,0.0010298,0.0010298,0.0010298
100,145.757,0.3223,0.23592,0.83842,0.99907,1,0.995,0.94302,0.3352,0.21475,0.84474,0.0010199,0.0010199,0.0010199
101,147.201,0.34838,0.23869,0.84536,0.99892,1,0.995,0.96472,0.31118,0.20011,0.83083,0.00101,0.00101,0.00101
102,148.644,0.34681,0.24714,0.84496,0.99917,1,0.995,0.96525,0.29265,0.19506,0.82587,0.0010001,0.0010001,0.0010001
103,150.089,0.34898,0.25226,0.861,0.99915,1,0.995,0.97095,0.31056,0.20798,0.83091,0.0009902,0.0009902,0.0009902
104,151.528,0.34474,0.24024,0.83731,0.99907,1,0.995,0.96386,0.30566,0.19685,0.84181,0.0009803,0.0009803,0.0009803
105,152.967,0.3131,0.22748,0.84262,0.99884,1,0.995,0.97062,0.28133,0.20644,0.83468,0.0009704,0.0009704,0.0009704
106,154.412,0.32841,0.23835,0.83707,0.99895,1,0.995,0.97798,0.29119,0.20796,0.83712,0.0009605,0.0009605,0.0009605
107,155.876,0.32456,0.2263,0.82891,0.99894,1,0.995,0.97982,0.31233,0.2051,0.83661,0.0009506,0.0009506,0.0009506
