Time,Smoothed_X_Position,Smoothed_X_Speed,Smoothed_X_Control
3.92,0.1664467494347292,0.4466602505440696,0
3.96,0.184313159456492,0.4447866762119688,0
4.0,0.20210462650497074,0.44298004908751226,0
4.04,0.21982382846847123,0.44111605606747606,0
4.08,0.23746847071117028,0.4390856176505767,0
4.12,0.25503189541719334,0.43680608955572325,0
4.16,0.2725041389994223,0.4342244927370384,0
4.2,0.2898731187089038,0.4313175766253119,0
4.24,0.3071258217739163,0.4280931137918678,0
4.28,0.324249546325591,0.4245930187671443,0
4.32,0.34123326707627677,0.4208941579032163,0
4.36,0.3580690333924054,0.417101087356922,0
4.4,0.3747530768866823,0.41332868522879346,0
4.44,0.39128622429583404,0.4096788145496674,0
4.48,0.40767337687782074,0.4062187861380989,0
4.52,0.4239221283233447,0.40296860620682995,0
4.56,0.4400408725716179,0.39990023125159035,0
4.6,0.4560368818216815,0.39694764798755555,0
4.64,0.4719147877411837,0.3940235501766823,0
4.68,0.487675729748251,0.39103767331485906,0
4.72,0.5033172366808454,0.38791289871714096,0
4.76,0.518833752629531,0.38459673893438406,0
4.8,0.5342176221869064,0.3810671588020703,0
4.84,0.5494603085389892,0.3773329704086864,0
4.88,0.5645536273553367,0.37342996326121813,0
4.92,0.5794908258857854,0.3694137827905425,0
4.96,0.5942673771974071,0.3653496354760116,0
5.0,0.6088813626164475,0.36129891007861403,0
5.04,0.6233333190195921,0.35730492444703554,0
5.08,0.6376255159974735,0.35338272703339113,0
5.12,0.6517608250788092,0.34951799985451504,0
5.16,0.6657415450729898,0.3456762961542986,0
5.2,0.6795685969191617,0.34181888186881615,0
5.24,0.6932413521939144,0.33791927668529453,0
5.28,0.7067581232613261,0.33397551326013186,0
5.32,0.7201171437917314,0.3300148888598614,0
5.36,0.7333177393461259,0.3260900222611496,0
5.4,0.7463613402365719,0.3222677975367544,0
5.44,0.759252052138042,0.3186150050878911,0
5.48,0.7719966523415577,0.3151847893471227,0
5.52,0.7846040439154426,0.31200701702102374,0
5.56,0.7970843245962835,0.30908442853420925,0
5.6,0.8094477017376519,0.30639475738347965,0
5.64,0.8217034920329911,0.30389684094773994,0
5.68,0.8338593656709007,0.30153745090900075,0
5.72,0.8459208637072607,0.2992565312165185,0
5.76,0.8578911249559215,0.2969909749085231,0
5.8,0.8697707639522624,0.294678595640821,0
5.84,0.8815579077778952,0.2922633924249435,0
5.88,0.893248443474893,0.289701702029313,0
5.92,0.9048365115560655,0.2869680240446759,0
5.96,0.9163152325178525,0.2840594618656156,0
6.0,0.9276776109924771,0.28099783646222953,0
6.04,0.9389175244509663,0.27782812980678695,0
6.08,0.9500306496432378,0.27461208234926815,0
6.12,0.9610151329372085,0.2714174770538841,0
6.16,0.9718718320193639,0.26830598348818735,0
6.2,0.9826040713588914,0.2653235489351091,0
6.24,0.9932170133162957,0.2624963308554745,0
6.28,1.0037168665505147,0.2598325760807263,0
6.32,1.0141101695937438,0.25732801012908757,0
6.36,1.0244032899989073,0.2549709483222584,0
6.4,1.0346021279317976,0.2527446498260144,0
6.44,1.0447119139248382,0.25062749485381675,0
6.48,1.0547370137189909,0.2485936141221501,0
6.52,1.0646807582838769,0.24661592745165994,0
6.56,1.0745453953819433,0.24467138689553414,0
6.6,1.0843322508577646,0.2427466878300144,0
6.64,1.0940421183709652,0.24084225469842013,0
6.68,1.103675808558902,0.23897250244583335,0
6.72,1.1132347086567354,0.23716155776436487,0
6.76,1.12272117096731,0.23543585247637333,0
6.8,1.1321386050663649,0.23381669260056914,0
6.84,1.1414912727703876,0.23231546180586538,0
6.88,1.1507838912426223,0.23093210117258733,0
6.92,1.1600211752895258,0.22965585576020242,0
6.96,1.1692074095199338,0.2284669724174737,0
7.0,1.1783460884166328,0.22733854601225678,0
7.04,1.187439630257123,0.22623838151926146,0
7.08,1.1964891655178935,0.22513141231096379,0
7.12,1.205494422010332,0.22398349622810287,0
7.16,1.2144537618594562,0.22276678836535835,0
7.2,1.2233644333940705,0.22146566792629052,0
7.24,1.2322230601111221,0.22008129262824916,0
7.28,1.2410263118162521,0.21863298277025045,0
7.32,1.2497716311270621,0.2171557629928822,0
7.36,1.2584578616467774,0.21569454900819962,0
7.4,1.2670856436071054,0.21429584932708412,0
7.44,1.2756574775801888,0.21299794234441727,0
7.48,1.2841773952739655,0.21182103434300714,0
7.52,1.2926502366476857,0.2107594869438234,0
7.56,1.3010806161254387,0.20977800240000732,0
7.6,1.309471736221439,0.2088127965540698,0
7.64,1.3178242480836018,0.20777791755213215,0
7.68,1.326135364785687,0.2065761454201731,0
7.72,1.334398410602494,0.2051132513498477,0
7.76,1.3426029406564879,0.20331388201565437,0
7.8,1.350735495937114,0.20113686186261082,0
7.84,1.3587809704116185,0.19858713833468822,0
7.88,1.366724455945006,0.19572127008617435,0
7.92,1.374553306748453,0.19264385721303734,0
7.96,1.3822590610369745,0.18949407698050091,0
8.0,1.3898388241161945,0.18642445564946986,0
8.04,1.3972958023421733,0.18357683130796887,0
8.08,1.404638875594492,0.1810611586723576,0
8.12,1.4118813219413864,0.17894110535461305,0
8.16,1.419038966155571,0.17722799668311584,0
8.2,1.4261280860228955,0.1758828732897344,0
8.24,1.433163400954485,0.17482529487816145,0
8.28,1.4401564127496114,0.17394709773613237,0
8.32,1.4471142966590567,0.17312950598609156,0
8.36,1.4540394768985003,0.17226179149745224,0
8.4,1.4609299485583984,0.17125834077731383,0
8.44,1.467780282189491,0.17006962078431886,0
8.48,1.4745830670208637,0.16868320703347095,0
8.52,1.4813303953022026,0.167114666638285,0
8.56,1.488014981967734,0.16539316620595712,0
8.6,1.4946307086159722,0.16354954901047214,0
8.64,1.5011726905763911,0.16161233530338492,0
8.68,1.5076371839885265,0.1596109979995819,0
8.72,1.5140216239085098,0.1575810090643448,0
8.76,1.5203248642710836,0.15556516183871105,0
8.8,1.526547470744632,0.15360930296202668,0
8.84,1.532691842863113,0.15175401834056634,0
8.88,1.5387620035967358,0.15002528124477554,0
8.92,1.5447630148465268,0.1484276481952984,0
8.96,1.5507001207743387,0.14694355001403925,0
9.0,1.5565778627749003,0.14554002944111577,0
9.04,1.562399463952545,0.14418011881625614,0
9.08,1.5681666687051952,0.14283345526313052,0
9.12,1.5738800069157204,0.14148246948891274,0
9.16,1.579539305695277,0.1401243392187279,0
9.2,1.585144279264026,0.13877029913101913,0
9.24,1.5906950912292668,0.13744244497173042,0
9.28,1.596192789028136,0.13616758458773193,0
9.32,1.6016394924116453,0.13496931706120652,0
9.36,1.6070382650940935,0.13386094546167238,0
9.4,1.6123927029125604,0.13284163410313132,0
9.44,1.6177063682766857,0.1318969562501493,0
9.48,1.6229822465266917,0.1310028398729235,0
9.52,1.6282223601216086,0.13012994749974083,0
9.56,1.6334275580215982,0.1292462424266616,0
9.6,1.6385974077186647,0.12831878479916958,0
9.64,1.6437301591106315,0.12731769916711766,0
9.68,1.6488228670773162,0.12622326859587085,0
9.72,1.653871797821151,0.12503354371151132,0
9.76,1.6588731395696115,0.12376850685861251,0
9.8,1.663823879843956,0.12246861769930062,0
