epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,301.655,0.69248,0.81411,0.06426,0.39264,0.84064,0.99967,1,0.995,0.85991,0.98963,0.98995,0.99008,0.85468,0.66984,0.6977,0.00943,0.34326,0.83586,0.00173072,0.00173072,0.00173072
70,306.015,0.67102,0.66727,0.05879,0.37726,0.83913,0.99689,1,0.995,0.86725,0.97676,0.9799,0.98124,0.85241,0.61362,0.63552,0.00829,0.34168,0.82566,0.00172676,0.00172676,0.00172676
71,310.373,0.65628,0.82147,0.06185,0.37153,0.84143,0.99968,1,0.995,0.87176,0.98461,0.98492,0.98741,0.85377,0.61168,0.68563,0.00751,0.31593,0.82657,0.0017228,0.0017228,0.0017228
72,314.739,0.64752,0.77443,0.06492,0.37001,0.84039,0.99838,1,0.995,0.87727,0.97409,0.97487,0.98,0.86186,0.58237,0.62872,0.01186,0.33005,0.82658,0.00171884,0.00171884,0.00171884
73,319.14,0.6351,0.77179,0.05771,0.35731,0.84581,0.99785,1,0.995,0.86463,0.9828,0.98492,0.9847,0.82025,0.58979,0.69172,0.00769,0.32707,0.8266,0.00171488,0.00171488,0.00171488
74,323.495,0.6591,0.73139,0.06135,0.36448,0.83979,0.99958,1,0.995,0.8531,0.97446,0.97487,0.96608,0.80452,0.60223,0.74581,0.0097,0.35367,0.82368,0.00171092,0.00171092,0.00171092
75,327.85,0.64852,0.6951,0.05607,0.36495,0.83939,0.99967,1,0.995,0.87575,0.97958,0.9799,0.97685,0.8582,0.57999,0.62423,0.01178,0.32483,0.81606,0.00170696,0.00170696,0.00170696
76,332.213,0.67828,0.75828,0.06225,0.37859,0.84346,0.99496,1,0.995,0.86947,0.97996,0.98492,0.98298,0.85755,0.58137,0.62155,0.00789,0.35101,0.82559,0.001703,0.001703,0.001703
77,336.57,0.64373,0.71509,0.06041,0.35991,0.84522,0.99968,1,0.995,0.88051,0.98461,0.98492,0.9879,0.85872,0.57481,0.64037,0.00871,0.31767,0.82009,0.00169904,0.00169904,0.00169904
78,340.951,0.64161,0.69922,0.0556,0.3562,0.83553,0.99968,1,0.995,0.87274,0.9846,0.98492,0.98477,0.85267,0.6037,0.65191,0.00794,0.33442,0.82616,0.00169508,0.00169508,0.00169508
79,345.321,0.62504,0.73846,0.05689,0.35489,0.84276,0.99969,1,0.995,0.86955,0.98462,0.98492,0.98626,0.84213,0.57288,0.63867,0.00796,0.32888,0.82446,0.00169112,0.00169112,0.00169112
80,349.681,0.62512,0.73827,0.06105,0.35059,0.83849,0.99961,1,0.995,0.85393,0.98491,0.98492,0.98722,0.84528,0.66015,0.66764,0.00848,0.3441,0.83438,0.00168716,0.00168716,0.00168716
81,354.065,0.62267,0.67386,0.05414,0.35705,0.84306,0.99966,1,0.995,0.84938,0.99463,0.99497,0.9947,0.83839,0.60316,0.62579,0.00667,0.34028,0.82433,0.0016832,0.0016832,0.0016832
82,358.434,0.61964,0.69139,0.05389,0.35029,0.83298,0.99968,1,0.995,0.86525,0.99465,0.99497,0.9944,0.82403,0.55703,0.63525,0.00736,0.31701,0.81433,0.00167924,0.00167924,0.00167924
83,362.815,0.62324,0.73783,0.05812,0.35376,0.82837,0.99968,1,0.995,0.86824,0.98983,0.98995,0.99096,0.86294,0.57294,0.57781,0.00675,0.32213,0.81795,0.00167528,0.00167528,0.00167528
84,367.18,0.62064,0.7034,0.04621,0.35274,0.83952,0.99964,1,0.995,0.85971,0.98457,0.98492,0.98107,0.8301,0.59666,0.65119,0.007,0.33102,0.82096,0.00167132,0.00167132,0.00167132
85,371.549,0.61489,0.73022,0.05735,0.3502,0.83559,0.99964,1,0.995,0.8559,0.98983,0.98995,0.98815,0.81942,0.62174,0.68222,0.00807,0.34624,0.82207,0.00166736,0.00166736,0.00166736
86,375.921,0.63465,0.66226,0.04551,0.35441,0.84258,0.99968,1,0.995,0.85683,0.97959,0.9799,0.97284,0.84279,0.58769,0.59905,0.00521,0.33705,0.81446,0.0016634,0.0016634,0.0016634
87,380.296,0.64274,0.7188,0.05423,0.37166,0.83824,0.99866,1,0.995,0.84385,0.98914,0.98995,0.98383,0.81951,0.62576,0.66776,0.00602,0.40826,0.83573,0.00165944,0.00165944,0.00165944
88,384.685,0.64079,0.7191,0.04892,0.36695,0.83893,0.99967,1,0.995,0.86382,0.97968,0.9799,0.97355,0.83581,0.60216,0.72125,0.00684,0.33439,0.82149,0.00165548,0.00165548,0.00165548
89,389.048,0.62181,0.72157,0.05218,0.35761,0.84829,0.99969,1,0.995,0.88531,0.97457,0.97487,0.97457,0.87255,0.57159,0.68126,0.00695,0.32393,0.8141,0.00165152,0.00165152,0.00165152
90,393.433,0.60358,0.68126,0.04936,0.35036,0.83135,0.99967,1,0.995,0.87006,0.97957,0.9799,0.97043,0.82999,0.56535,0.64931,0.00641,0.31749,0.81532,0.00164756,0.00164756,0.00164756
91,397.812,0.63127,0.7504,0.05674,0.36367,0.83909,0.99968,1,0.995,0.86858,0.98963,0.98995,0.9822,0.83572,0.5704,0.64035,0.00659,0.33351,0.81958,0.0016436,0.0016436,0.0016436
92,402.187,0.62268,0.75756,0.04911,0.35323,0.8384,0.99969,1,0.995,0.87295,0.99467,0.99497,0.9947,0.85856,0.57519,0.68769,0.00503,0.32264,0.82325,0.00163964,0.00163964,0.00163964
93,406.574,0.62342,0.6979,0.04943,0.34714,0.83072,0.9997,1,0.995,0.86448,0.98485,0.98492,0.98759,0.84872,0.61471,0.69237,0.00514,0.33362,0.82122,0.00163568,0.00163568,0.00163568
94,410.945,0.65449,0.65764,0.05329,0.35553,0.83498,0.99967,1,0.995,0.86716,0.99967,1,0.995,0.85949,0.58475,0.58259,0.00939,0.32492,0.81643,0.00163172,0.00163172,0.00163172
95,415.306,0.60559,0.71435,0.05548,0.34099,0.82435,0.99969,1,0.995,0.88258,0.98964,0.98995,0.99029,0.87302,0.59206,0.58947,0.00563,0.31321,0.81477,0.00162776,0.00162776,0.00162776
96,419.673,0.5924,0.65875,0.04531,0.33762,0.82106,1,1,0.995,0.88741,0.98995,0.98995,0.99238,0.85881,0.5605,0.6126,0.00548,0.30188,0.80828,0.0016238,0.0016238,0.0016238
97,424.053,0.611,0.64074,0.04148,0.34964,0.83163,0.99967,1,0.995,0.86519,0.99465,0.99497,0.9948,0.8477,0.58268,0.5734,0.00416,0.3129,0.81438,0.00161984,0.00161984,0.00161984
98,428.445,0.59839,0.62932,0.04418,0.33989,0.83733,0.99967,1,0.995,0.86939,0.98962,0.98995,0.98962,0.85571,0.59017,0.58566,0.00457,0.31814,0.82379,0.00161588,0.00161588,0.00161588
99,432.812,0.59868,0.65103,0.04163,0.33521,0.83226,0.99967,1,0.995,0.87691,0.98962,0.98995,0.9905,0.83544,0.55566,0.62376,0.00497,0.30533,0.81754,0.00161192,0.00161192,0.00161192
100,437.202,0.58625,0.63816,0.04209,0.33804,0.8341,0.9997,1,0.995,0.87581,0.9796,0.9799,0.98732,0.87385,0.59485,0.60467,0.00429,0.30708,0.82936,0.00160796,0.00160796,0.00160796
