epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,248.076,0.37982,1.47397,0.34518,0.30471,0.8683,0.9991,1,0.995,0.97497,0.9991,1,0.995,0.87018,0.26705,0.58985,0.10979,0.23303,0.79245,0.0017426,0.0017426,0.0017426
67,251.814,0.39948,1.66594,0.35055,0.31587,0.87873,0.99701,1,0.995,0.96692,0.99701,1,0.995,0.89841,0.27383,0.48436,0.10533,0.32662,0.78826,0.00173864,0.00173864,0.00173864
68,255.568,0.37242,1.41453,0.3246,0.2898,0.86341,0.99937,1,0.995,0.9746,0.99937,1,0.995,0.8839,0.2693,0.48189,0.11024,0.24257,0.78616,0.00173468,0.00173468,0.00173468
69,259.322,0.38312,1.38667,0.32679,0.29371,0.86334,0.99858,1,0.995,0.97439,0.99858,1,0.995,0.90753,0.26425,0.46258,0.10193,0.23371,0.78417,0.00173072,0.00173072,0.00173072
70,263.157,0.38783,1.67529,0.3621,0.30464,0.87396,0.99927,1,0.995,0.97651,0.99927,1,0.995,0.85641,0.2607,0.54898,0.11348,0.24876,0.79237,0.00172676,0.00172676,0.00172676
71,266.913,0.37647,1.54439,0.34168,0.29716,0.8675,0.99926,1,0.995,0.98113,0.99926,1,0.995,0.87741,0.26549,0.55286,0.10376,0.23386,0.79244,0.0017228,0.0017228,0.0017228
72,270.666,0.3891,1.46968,0.33717,0.30174,0.87847,0.9991,1,0.995,0.97455,0.9991,1,0.995,0.90494,0.27788,0.43414,0.11493,0.24737,0.79024,0.00171884,0.00171884,0.00171884
73,274.407,0.3765,1.37791,0.31825,0.29192,0.86238,0.99767,1,0.995,0.97842,0.99767,1,0.995,0.89868,0.2579,0.44628,0.0988,0.22639,0.79371,0.00171488,0.00171488,0.00171488
74,278.146,0.36017,1.32554,0.32993,0.28118,0.86347,0.99954,1,0.995,0.97654,0.99954,1,0.995,0.91298,0.26087,0.4214,0.10103,0.2251,0.79059,0.00171092,0.00171092,0.00171092
75,281.912,0.36639,1.37979,0.3474,0.28802,0.87021,0.99968,1,0.995,0.97556,0.99968,1,0.995,0.91579,0.24516,0.37433,0.11252,0.20972,0.78259,0.00170696,0.00170696,0.00170696
76,285.674,0.36802,1.30457,0.33833,0.28775,0.86925,0.99936,1,0.995,0.97536,0.99936,1,0.995,0.93051,0.26488,0.37646,0.10854,0.22686,0.78473,0.001703,0.001703,0.001703
77,289.436,0.35755,1.31209,0.32485,0.27887,0.85566,0.99927,1,0.995,0.98001,0.99927,1,0.995,0.90671,0.23966,0.43175,0.10135,0.21552,0.7803,0.00169904,0.00169904,0.00169904
78,293.185,0.3513,1.25505,0.3293,0.28015,0.8615,0.99951,1,0.995,0.98035,0.99951,1,0.995,0.91996,0.2389,0.40376,0.09729,0.21672,0.78678,0.00169508,0.00169508,0.00169508
79,296.939,0.35454,1.33687,0.32927,0.27813,0.86898,0.99945,1,0.995,0.98287,0.99945,1,0.995,0.92808,0.21876,0.35598,0.09532,0.20865,0.78164,0.00169112,0.00169112,0.00169112
80,300.708,0.36452,1.31989,0.32809,0.28156,0.87036,0.99907,1,0.995,0.96911,0.99907,1,0.995,0.90717,0.28626,0.41527,0.10357,0.22975,0.79443,0.00168716,0.00168716,0.00168716
81,304.455,0.37221,1.31658,0.32607,0.286,0.86449,0.99942,1,0.995,0.97999,0.99942,1,0.995,0.91656,0.25752,0.39774,0.10468,0.22544,0.78947,0.0016832,0.0016832,0.0016832
82,308.194,0.35101,1.16681,0.3045,0.2729,0.85737,0.99926,1,0.995,0.97907,0.99926,1,0.995,0.87792,0.25034,0.58321,0.10012,0.22506,0.787,0.00167924,0.00167924,0.00167924
83,311.942,0.34416,1.21814,0.31962,0.27089,0.85507,0.99944,1,0.995,0.97692,0.99944,1,0.995,0.93414,0.24698,0.38117,0.09074,0.21544,0.78964,0.00167528,0.00167528,0.00167528
84,315.697,0.34489,1.24424,0.31435,0.27058,0.86037,0.9983,1,0.995,0.97883,0.9983,1,0.995,0.93151,0.23272,0.35918,0.09498,0.21862,0.78856,0.00167132,0.00167132,0.00167132
85,319.453,0.33542,1.21417,0.31663,0.27093,0.84804,0.99845,1,0.995,0.97958,0.99845,1,0.995,0.93373,0.25215,0.36661,0.09538,0.23425,0.79185,0.00166736,0.00166736,0.00166736
86,323.203,0.36671,1.29772,0.32801,0.28061,0.86445,0.998,1,0.995,0.97852,0.998,1,0.995,0.90624,0.24335,0.40459,0.09863,0.23048,0.78658,0.0016634,0.0016634,0.0016634
87,326.959,0.35708,1.156,0.32453,0.2802,0.86693,0.99962,1,0.995,0.98244,0.99962,1,0.995,0.92411,0.23662,0.40263,0.09336,0.2061,0.78832,0.00165944,0.00165944,0.00165944
88,330.704,0.33624,1.22519,0.3065,0.27011,0.85028,0.99873,1,0.995,0.98192,0.99873,1,0.995,0.94313,0.23776,0.33261,0.09471,0.20888,0.78872,0.00165548,0.00165548,0.00165548
89,334.467,0.34466,1.25598,0.31287,0.27287,0.85751,0.99917,1,0.995,0.98454,0.99917,1,0.995,0.92138,0.2295,0.38768,0.08801,0.20427,0.78763,0.00165152,0.00165152,0.00165152
90,338.214,0.34902,1.25027,0.3292,0.27411,0.86661,0.99967,1,0.995,0.9828,0.99967,1,0.995,0.93498,0.23287,0.42375,0.09807,0.20481,0.78682,0.00164756,0.00164756,0.00164756
91,341.978,0.33226,1.21742,0.30719,0.26729,0.8531,0.99933,1,0.995,0.98039,0.99933,1,0.995,0.92607,0.24087,0.36447,0.09845,0.21364,0.78805,0.0016436,0.0016436,0.0016436
92,345.742,0.34162,1.20432,0.3157,0.27064,0.86183,0.99961,1,0.995,0.9797,0.99961,1,0.995,0.93601,0.24187,0.34553,0.08681,0.21263,0.78563,0.00163964,0.00163964,0.00163964
93,349.488,0.36147,1.33848,0.33332,0.27676,0.87294,0.9989,1,0.995,0.97618,0.9989,1,0.995,0.94191,0.23466,0.33517,0.09134,0.21005,0.78146,0.00163568,0.00163568,0.00163568
94,353.249,0.33438,1.09608,0.31125,0.26595,0.85335,0.99933,1,0.995,0.97642,0.99933,1,0.995,0.93365,0.24526,0.33981,0.09465,0.21917,0.78641,0.00163172,0.00163172,0.00163172
95,356.996,0.32905,1.15242,0.3119,0.26576,0.85473,0.99875,1,0.995,0.98682,0.99875,1,0.995,0.9425,0.22417,0.32045,0.0905,0.21076,0.78088,0.00162776,0.00162776,0.00162776
96,360.766,0.33415,1.1725,0.30675,0.26789,0.85996,0.99955,1,0.995,0.98478,0.99955,1,0.995,0.94057,0.23625,0.34358,0.07916,0.21179,0.78193,0.0016238,0.0016238,0.0016238
97,364.5,0.34955,1.11953,0.30127,0.26688,0.85477,0.99907,1,0.995,0.97999,0.99907,1,0.995,0.90356,0.246,0.36441,0.09318,0.21059,0.78337,0.00161984,0.00161984,0.00161984
98,368.242,0.34587,1.20854,0.33348,0.27117,0.87114,0.99964,1,0.995,0.98042,0.99964,1,0.995,0.94118,0.22865,0.31826,0.09486,0.2018,0.78194,0.00161588,0.00161588,0.00161588
99,371.986,0.33311,1.18498,0.31586,0.26351,0.8533,0.99927,1,0.995,0.98357,0.99927,1,0.995,0.95581,0.22758,0.31734,0.08924,0.20293,0.78213,0.00161192,0.00161192,0.00161192
100,375.738,0.33428,1.1115,0.30476,0.26114,0.85402,0.9996,1,0.995,0.985,0.9996,1,0.995,0.96348,0.22468,0.28511,0.09042,0.20145,0.78365,0.00160796,0.00160796,0.00160796
101,379.506,0.32359,1.0434,0.3094,0.25845,0.84806,0.99904,1,0.995,0.98619,0.99904,1,0.995,0.94746,0.2168,0.31262,0.08071,0.1977,0.78309,0.001604,0.001604,0.001604
102,383.253,0.33458,1.07546,0.29775,0.25856,0.85755,0.99848,1,0.995,0.9777,0.99848,1,0.995,0.94387,0.23744,0.33055,0.08056,0.20889,0.78621,0.00160004,0.00160004,0.00160004
103,387.011,0.32833,1.16276,0.29676,0.25732,0.85982,0.99934,1,0.995,0.98515,0.99934,1,0.995,0.94819,0.23683,0.32604,0.07529,0.20233,0.78498,0.00159608,0.00159608,0.00159608
104,390.755,0.35318,1.29837,0.31035,0.2774,0.86964,0.9984,1,0.995,0.98489,0.9984,1,0.995,0.93194,0.21525,0.33756,0.07446,0.20149,0.78181,0.00159212,0.00159212,0.00159212
